Group,Abcg5,Abcg8,Srb1,Ldlr,Cyp7a1,Cyp8b1,Cyp2c70,Cyp27
A,5.73,12.28,19.15,2.39,0.24,32.75,57.48,18.63
A,4.14,10.01,17.98,2.86,1.27,18.82,82.77,19.16
A,3.49,7.99,19.88,2.51,0.57,16.49,51.35,18.13
A,6.05,12.29,15.51,4.09,1.19,28.25,,23.84
A,4.64,8.25,14.6,2.45,0.97,26.83,95.37,17.76
coH.A,14.74,26.35,20.51,2.41,0.12,0.75,,12.48
coH.A,5.59,9.79,17.25,2.32,0.64,21.21,73.56,22.92
coH.A,11.82,19.06,18.24,1.95,0.27,10.46,59.05,17.26
coH.A,6.99,14.23,17.49,2.42,0.06,8.72,59.62,20.23
coH.A,6.5,17.57,15.67,3.36,0.06,5.2,81.26,22.07
coH.C,4.56,8.2,14.36,1.3,0.04,0.3,98.1,17.54
coH.C,8.4,14.16,14.8,1.71,0.9,11,33.32,25.51
coH.C,10.94,21.28,11.39,3.36,0.01,0.92,36.27,17.28
coH.C,7.14,19.76,13.19,2.69,0,0.25,25.16,20.13
coH.C,7.87,17.61,15,2.58,0.01,0.19,30.22,23.52
C,10.42,16.58,12.72,2.09,0.05,0.33,35.54,15.19
C,14.36,19.59,12.31,1.96,0.06,0.62,27.68,12.18
C,10.92,17.65,11.35,2.89,0.07,0.53,42.32,21.21
C,9.99,14.99,11.81,3.01,0.08,0.55,46.08,20.82
C,11.07,18.66,10.26,2.63,0.14,1.81,41.71,15.6
