Group,TBA,TauroBA,GlycoBA,ucBA,pCA,pbMCA,paMCA,pUDCA,pDCA,pCDCA,pLCA,pwMCA
FMT.GS,223999,175870,46667,1462,85.01,0.67,0.3,0.88,12.2,0.64,0.01,0.29
FMT.GS,15752,14225,1322,205,84,1.77,1.06,0.19,12.69,0.27,0.01,0
FMT.GS,275996,227260,47316,1419,82.73,1.3,0.59,1.59,12.64,0.93,0.01,0.21
FMT.GS,312316,275510,33632,3174,81.34,1.15,0.52,0.5,15.96,0.49,0.01,0.03
FMT.GS,222441,212437,9739,265,75.94,6.36,1.13,0.99,14.9,0.65,0.03,0
FMT.GS,220541,196674,22661,1206,83.68,1.36,0.65,1.34,12.1,0.7,0.01,0.16
FMT.GS,65650,61999,3549,102,81.45,5.91,1.8,1.21,8.72,0.91,0,0
FMT.GSF,318324,316446,558,1319,66.44,12.09,0.98,1.44,18.23,0.79,0.01,0
FMT.GSF,192071,191182,257,632,68.06,11.65,2.12,1.98,14.89,1.28,0.02,0
FMT.GSF,272699,271246,385,1069,70.95,15.72,1.94,1.67,8.73,0.98,0.01,0
FMT.GSF,118735,117637,342,757,73.3,14.68,1.47,1.99,7.8,0.76,0.01,0.01
FMT.GSF,65759,65362,114,283,79.17,9.95,2.04,1.47,6.6,0.76,0.01,0.01
FMT.GSF,127038,126815,93,130,46.58,40.49,7.6,2.78,1.03,1.5,0.02,0
FMT.GSF,194454,194215,106,133,48.64,36.52,8.53,3.39,0.43,2.46,0.02,0
FMT.GSF,258631,258310,237,84,57.03,23.52,8.18,2.38,5.89,2.98,0.03,0
