group,TBA,TauroBA,GlycoBA,ucBA,tCA,tbMCA,taMCA,tUDCA,tDCA,tCDCA,tLCA,twMCA
A,200442,174941,25065,436,147650,23423,2794,5997,18570,1961,26,19
A,113653,113378,44,231,68946,35060,4601,2501,1765,706,13,62
A,5975,5833,14,128,3847,1527,304,141,115,24,1,17
A,157047.5,144159.5,12554.5,333.5,108298,29241.5,3697.5,4249,10167.5,1333.5,19.5,40.5
A,103208.5,90387,12539.5,282,75748.5,12475,1549,3069,9342.5,992.5,13.5,18
coH.A,183409,183078,167,164,144312,29687,4678,2809,861,1056,3,3
coH.A,381378,364154,16716,508,301493,42704,7365,5239,20601,3946,20,9
coH.A,55815,50055,5076,684,50360,1808,312,209,3023,100,0,3
coH.A,284085,260046,22600,1440,208338,7174,5354,2855,57251,2895,34,184
coH.A,119612,116566.5,2621.5,424,97336,15747.5,2495,1509,1942,578,1.5,3
coH.C,152028,113326,35610,3092,114720,502,384,1321,32087,663,3,2347
coH.C,107209,93791,11665,1753,89462,1150,573,691,14784,546,3,0
coH.C,150888,112260,36619,2009,117426,319,311,984,29323,1076,2,1447
coH.C,129618.5,103558.5,23637.5,2422.5,102091,826,478.5,1006,23435.5,604.5,3,1173.5
coH.C,136708,106459,27965,2285,107203,657,423,999,25398,762,3,1265
C,152493,80991,14768,56735,123127,379,470,1008,25642,770,8,1089
C,222601,107352,10435,104815,185711,606,726,1060,32585,1056,38,818
C,57676,25088,10069,22519,45362,93,235,245,9746,574,5,1415
C,279275,142640,17950,118686,231829,1294,1305,2058,39872,1560,20,1338
C,178011.25,89017.75,13305.5,75688.75,146507.25,593,684,1092.75,26961.25,990,17.75,1165
