sample	group
SM111	group1
SM114	group1
SM125	group1
SM34	group1
SM37	group1
SM43	group1
SM50	group1
SM76	group1
SM77	group1
SM84	group1
SM87	group1
SM90	group1
SM35	group2
SM39	group2
SM46	group2
SM63	group2
SM68	group2
SM70	group2
SM74	group2
SM78	group2
SM79	group2
SM83	group2
SM85	group2
SM89	group2
SM91	group2
SM92	group2
LM16	group3
LM24-3	group3
LM35	group3
LM38	group3
LM44	group3
LM45	group3
LM46	group3
LM48	group3
LM58	group3
LM61	group3
LM78	group3
LM83	group3
LM07	group4
LM09	group4
LM10	group4
LM20	group4
LM22	group4
LM24-4	group4
LM47	group4
VM05	group5
VM12	group5
VM29	group5
VM34	group5
VM49	group5
VM60	group5
VM10	group6
VM11	group6
VM131	group6
VM20	group6
VM21	group6
VM26-56	group6
VM26-60	group6
VM27	group6
VM28	group6
VM50	group6
VM53	group6
VM63	group6
